Current Settings:
        -testcase stability_measurement
        -method symplectic_euler
        -mass 0.1
        -step 0.0001
        -stiff 10
        -damp 0.1

Max amplitude table:
step euler symplectic_euler midpoint backwards_euler analytic
0.0001 2.18199 2.18186 2.18186 2 1.99989
0.0002 2.18212 2.18186 2.18186 2 1.99978
0.0004 2.18239 2.18186 2.18186 2 1.99956
0.0008 2.18292 2.18186 2.18186 1.99999 1.99913
0.0016 2.184 2.18186 2.18186 1.99997 1.99826
0.0032 2.18619 2.18186 2.18185 1.9999 1.99654
0.0064 2.19075 2.18185 2.18185 1.9996 1.9932
0.0128 4.75172e+076 2.182 2.18169 1.99844 1.98687
0.0256 1.0e+087 2.18221 2.18206 1.99411 1.97572
0.0512 1.0e+087 2.1819 2.18509 1.98043 1.95992
